year;global_temp;riyadh_temp;Riyadh_temp2
1843;8.17;24.74;#N/A
1844;7.65;15.45;#N/A
1845;7.85;20.82;20.33666667
1846;8.55;;18.135
1847;8.09;;20.82
1848;7.98;24.56;24.56
1849;7.98;24.8;24.68
1850;7.9;24.34;24.56666667
1851;8.18;25.03;24.72333333
1852;8.1;24.85;24.74
1853;8.04;24.93;24.93666667
1854;8.21;24.72;24.83333333
1855;8.11;24.92;24.85666667
1856;8;24.57;24.73666667
1857;7.76;24.26;24.58333333
1858;8.1;25.01;24.61333333
1859;8.25;24.95;24.74
1860;7.96;24.94;24.96666667
1861;7.85;24.13;24.67333333
1862;7.56;23.77;24.28
1863;8.11;24.28;24.06
1864;7.98;25.03;24.36
1865;8.18;25.23;24.84666667
1866;8.29;24.92;25.06
1867;8.44;25.22;25.12333333
1868;8.25;25;25.04666667
1869;8.43;25.3;25.17333333
1870;8.2;25.02;25.10666667
1871;8.12;24.73;25.01666667
1872;8.19;24.87;24.87333333
1873;8.35;25.24;24.94666667
1874;8.43;24.98;25.03
1875;7.86;24.43;24.88333333
1876;8.08;24.89;24.76666667
1877;8.54;25.47;24.93
1878;8.83;25.51;25.29
1879;8.17;25.24;25.40666667
1880;8.12;24.8;25.18333333
1881;8.27;25.63;25.22333333
1882;8.13;24.66;25.03
1883;7.98;25.19;25.16
1884;7.77;24.8;24.88333333
1885;7.92;24.98;24.99
1886;7.95;24.98;24.92
1887;7.91;24.81;24.92333333
1888;8.09;25.13;24.97333333
1889;8.32;25.52;25.15333333
1890;7.97;25.07;25.24
1891;8.02;25.39;25.32666667
1892;8.07;25.22;25.22666667
1893;8.06;25.19;25.26666667
1894;8.16;24.66;25.02333333
1895;8.15;24.69;24.84666667
1896;8.21;24.88;24.74333333
1897;8.29;24.86;24.81
1898;8.18;24.88;24.87333333
1899;8.4;25.12;24.95333333
1900;8.5;25.29;25.09666667
1901;8.54;25.55;25.32
1902;8.3;25.25;25.36333333
1903;8.22;24.64;25.14666667
1904;8.09;25.07;24.98666667
1905;8.23;24.87;24.86
1906;8.38;24.85;24.93
1907;7.95;24.44;24.72
1908;8.19;24.95;24.74666667
1909;8.18;25.57;24.98666667
1910;8.22;24.75;25.09
1911;8.18;24.24;24.85333333
1912;8.17;24.96;24.65
1913;8.3;24.63;24.61
1914;8.59;24.94;24.84333333
1915;8.59;25.38;24.98333333
1916;8.23;24.85;25.05666667
1917;8.02;25.03;25.08666667
1918;8.13;24.66;24.84666667
1919;8.38;25.39;25.02666667
1920;8.36;24.94;24.99666667
1921;8.57;24.84;25.05666667
